id,name,yearsagobin,yearsago,yearextinct,yearextinctera,class,order,family,location,wikipedia,iucn-redlist,img,imgclass
Atelopus longirostris,longnose stubfoot toad,0,2,2017,2017 CE,Amphibia,Anura,Bufonidae,Ecuador,https://en.wikipedia.org/wiki/Atelopus_longirostris,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Atelopus_longirostris_female.jpg/440px-Atelopus_longirostris_female.jpg,wide
Emoia nativitatis,Christmas Island Whiptail-skink,0,2,2017,2017 CE,Reptilia,Squamata,Scincidae,Australia,https://en.wikipedia.org/wiki/Christmas_Island_forest_skink,https://www.iucnredlist.org/species/178595/101749951,https://s2r.iucnredlist.org/sis2_images/D14jJ2fJ-D25Nlf-crw.jpg,wide
Melomys rubicol,Bramble Cay Melomys,0,3,2016,2016 CE,Mammalia,Rodentia,Muridae,Australia,https://en.wikipedia.org/wiki/Bramble_Cay_melomys,https://www.iucnredlist.org/species/13132/97448475,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Bramble-cay-melomys.jpg/440px-Bramble-cay-melomys.jpg,wide
Aegolius gradyi,Bermuda Saw-whet Owl,0,5,2014,2014 CE,Aves,Strigiformes,Strigidae,Bermuda,https://en.wikipedia.org/wiki/Bermuda_saw-whet_owl,https://www.iucnredlist.org/species/62184893/95192681,https://alchetron.com/cdn/bermuda-saw-whet-owl-67b4ede4-fd27-4be3-8e8c-aaeff2bd86c-resize-750.jpeg,tall
Chioninia coctei,Cape Verde Giant Skink,0,6,2013,2013 CE,Reptilia,Squamata,Scincidae,Cape Verde Islands,https://en.wikipedia.org/wiki/Cape_Verde_giant_skink,https://www.iucnredlist.org/species/13152363/13152374,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Macroscincus_coctei003.jpg/800px-Macroscincus_coctei003.jpg,wide
Neofelis nebulosa brachyura,Formosan Clouded Leopard,0,6,2013,2013 CE,Mammalia,Carnivora,Felidae,Taiwan,https://en.wikipedia.org/wiki/Formosan_clouded_leopard,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/LeopardusBrachyurusWolf.jpg/220px-LeopardusBrachyurusWolf.jpg,tall
Chelonoidis abingdonii,Pinta Island tortoise,0,7,2012,2012 CE,Reptilia,Testudines,Testudinidae,Ecuador,https://en.wikipedia.org/wiki/Pinta_Island_tortoise,https://www.iucnredlist.org/species/9017/65487433,https://nc.iucnredlist.org/redlist/species-of-the-day/chelonoidis-nigra-abingdonii/images/full/chelonoidis-(nigra)-abingdonii.jpg,wide
Lutra lutra whiteleyi,Japanese river otter,0,7,2012,2012 CE,Mammalia,Carnivora,Mustelidae,Japan,https://en.wikipedia.org/wiki/Japanese_river_otter,,https://upload.wikimedia.org/wikipedia/commons/9/99/Japanese_otter.jpg,wide
Diceros bicornis longipes,Western black rhinoceros,0,8,2011,2011 CE,Mammalia,Perissodactyla,Rhinocerotidae,Africa,https://en.wikipedia.org/wiki/Western_black_rhinoceros,https://www.iucnredlist.org/species/39319/10198340,https://upload.wikimedia.org/wikipedia/commons/3/33/Diceros_bicornis_longipes.jpg,wide
Puma concolor couguar,Eastern cougar,0,8,2011,2011 CE,Mammalia,Carnivora,Felidae,North America,https://en.wikipedia.org/wiki/Eastern_cougar,,https://upload.wikimedia.org/wikipedia/commons/e/ef/EasternCougar.jpg,wide
Pipistrellus murrayi,Christmas Island pipistrelle,0,10,2009,2009 CE,Mammalia,Chiroptera,Vespertilionidae,Christmas Island,https://en.wikipedia.org/wiki/Christmas_Island_pipistrelle,,,
Gazella saudiya,Saudi gazelle,0,11,2008,2008 CE,Mammalia,Artiodactyla,Bovidae,Arabian Peninsula,https://en.wikipedia.org/wiki/Saudi_gazelle,,,
Atelopus vogli,Vogl's harlequin toad,0,15,2004,2004 CE,Amphibia,Anura,Bufonidae,Venezuela,https://en.wikipedia.org/wiki/Atelopus_vogli,,,
Craugastor chrysozetetes,McCranie's robber frog,0,15,2004,2004 CE,Amphibia,Anura,Craugastoridae,Honduras,https://en.wikipedia.org/wiki/Craugastor_chrysozetetes,,,
Craugastor escoces,Craugastor escoces,0,15,2004,2004 CE,Amphibia,Anura,Craugastoridae,Costa Rica,https://en.wikipedia.org/wiki/Craugastor_escoces,,,
Nannophrys guentheri,Gunther's streamlined frog,0,15,2004,2004 CE,Amphibia,Anura,Dicroglossidae,Skri Lanka,https://en.wikipedia.org/wiki/Nannophrys_guentheri,https://www.iucnredlist.org/species/58390/11765897,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Nannophrys_guentheri.jpg/220px-Nannophrys_guentheri.jpg,wide
Pseudophilautus adspersus,Pseudophilautus adspersus,0,15,2004,2004 CE,Amphibia,Anura,Rhacophoridae,Skri Lanka,https://en.wikipedia.org/wiki/Pseudophilautus_adspersus,https://www.iucnredlist.org/species/58811/11843109,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Pseudophilautus_adspersus.jpg/220px-Pseudophilautus_adspersus.jpg,tall
Capra pyrenaica pyrenaica,Pyrenean Ibex,0,19,2000,2000 CE,Mammalia,Artiodactyla,Bovidae,Pyrenees,https://en.wikipedia.org/wiki/Pyrenean_ibex,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Pyrenean_Ibex.png/800px-Pyrenean_Ibex.png,tall
Cyclura cornuta onchiopsis,Navassa Island iguana,0,20,1999,1999 CE,Reptilia,Squamata,Iguanidae,Navassa Island,https://en.wikipedia.org/wiki/Cyclura_cornuta_onchiopsis,,,
Levuana irridescens,Levuana Moth,0,25,1994,1994 CE,Insecta,Lepidoptera,Zygaenidae,Fiji,https://en.wikipedia.org/wiki/Levuana_moth,https://www.iucnredlist.org/species/11919/3315160,https://upload.wikimedia.org/wikipedia/en/f/f6/Levuana_iridescens01a.jpg,tall
Madatyphlops cariei,Hoffstetter's worm snake,0,25,1994,1994 CE,Reptilia,Squamata,Typhlopidae,Mauritius,https://en.wikipedia.org/wiki/Madatyphlops_cariei,,,
